Date,Open,High,Low,Close,Adj Close,Volume
1985-10-30,1373.050049,1384.630005,1361.010010,1375.569946,1375.569946,15150000
1985-10-31,1375.459961,1383.599976,1362.609985,1374.310059,1374.310059,13330000
1985-11-01,1372.130005,1393.579956,1367.780029,1390.250000,1390.250000,13930000
1985-11-04,1388.069946,1398.510010,1377.060059,1389.680054,1389.680054,11580000
1985-11-05,1386.810059,1402.520020,1380.280029,1396.670044,1396.670044,13870000
1985-11-06,1398.390015,1411.010010,1386.469971,1403.439941,1403.439941,14980000
1985-11-07,1400.109985,1410.109985,1389.910034,1399.540039,1399.540039,14160000
1985-11-08,1397.939941,1410.439941,1391.060059,1404.359985,1404.359985,11500000
1985-11-11,1405.729980,1432.569946,1402.410034,1431.880005,1431.880005,17030000
1985-11-12,1431.079956,1446.099976,1421.099976,1433.599976,1433.599976,19860000
1985-11-13,1432.680054,1439.790039,1419.380005,1427.750000,1427.750000,10740000
1985-11-14,1425.689941,1443.810059,1420.640015,1439.219971,1439.219971,12710000
1985-11-15,1435.780029,1450.569946,1425.689941,1435.089966,1435.089966,16310000
1985-11-18,1433.260010,1447.250000,1422.250000,1440.020020,1440.020020,12790000
1985-11-19,1444.719971,1452.180054,1430.050049,1438.989990,1438.989990,14000000
1985-11-20,1440.369995,1451.489990,1429.239990,1439.219971,1439.219971,17360000
1985-11-21,1445.300049,1466.060059,1439.790039,1462.270020,1462.270020,20310000
1985-11-22,1460.780029,1475.569946,1451.609985,1464.329956,1464.329956,15890000
1985-11-25,1462.839966,1467.089966,1449.430054,1456.650024,1456.650024,11070000
1985-11-26,1456.540039,1470.069946,1447.250000,1456.770020,1456.770020,20920000
1985-11-27,1460.439941,1483.829956,1454.010010,1475.689941,1475.689941,23580000
1985-11-29,1480.280029,1486.930054,1463.989990,1472.130005,1472.130005,10990000
1985-12-02,1471.329956,1476.260010,1451.260010,1457.910034,1457.910034,10620000
1985-12-03,1455.050049,1466.400024,1450.339966,1459.060059,1459.060059,9620000
1985-12-04,1463.760010,1488.760010,1457.449951,1484.400024,1484.400024,17420000
1985-12-05,1490.369995,1504.010010,1477.979980,1482.910034,1482.910034,19850000
1985-12-06,1476.719971,1488.300049,1464.790039,1477.180054,1477.180054,15140000
1985-12-09,1483.939941,1504.130005,1478.099976,1497.020020,1497.020020,21060000
1985-12-10,1498.849976,1514.910034,1483.939941,1499.199951,1499.199951,25800000
1985-12-11,1498.170044,1520.300049,1492.089966,1511.699951,1511.699951,25490000
1985-12-12,1512.040039,1523.510010,1496.790039,1511.239990,1511.239990,23580000
1985-12-13,1515.479980,1546.439941,1502.750000,1535.209961,1535.209961,22730000
1985-12-16,1538.300049,1570.869995,1528.900024,1553.099976,1553.099976,22700000
1985-12-17,1556.880005,1568.810059,1536.349976,1544.500000,1544.500000,20390000
1985-12-18,1543.119995,1560.439941,1528.439941,1542.430054,1542.430054,20280000
1985-12-19,1540.369995,1552.979980,1532.000000,1543.920044,1543.920044,16160000
1985-12-20,1548.739990,1564.560059,1535.670044,1543.000000,1543.000000,23510000
1985-12-23,1539.219971,1547.819946,1516.630005,1528.780029,1528.780029,15970000
1985-12-24,1526.380005,1532.449951,1508.829956,1519.150024,1519.150024,9740000
1985-12-26,1520.760010,1532.569946,1514.680054,1526.489990,1526.489990,6770000
1985-12-27,1530.160034,1548.849976,1527.290039,1543.000000,1543.000000,9910000
1985-12-30,1546.099976,1557.339966,1534.979980,1550.459961,1550.459961,11450000
1985-12-31,1552.290039,1562.839966,1537.500000,1546.670044,1546.670044,13630000
1986-01-02,1546.219971,1551.949951,1523.739990,1537.729980,1537.729980,10660000
1986-01-03,1540.020020,1557.109985,1534.979980,1549.199951,1549.199951,10460000
1986-01-06,1550.000000,1557.000000,1537.040039,1547.589966,1547.589966,11000000
1986-01-07,1552.060059,1573.739990,1544.500000,1565.709961,1565.709961,15170000
1986-01-08,1570.989990,1578.099976,1516.630005,1526.609985,1526.609985,20630000
1986-01-09,1516.060059,1530.849976,1495.640015,1518.229980,1518.229980,21010000
1986-01-10,1520.760010,1530.959961,1500.569946,1513.530029,1513.530029,12520000
1986-01-13,1511.930054,1526.829956,1502.290039,1520.530029,1520.530029,13130000
1986-01-14,1526.380005,1530.619995,1508.030029,1519.040039,1519.040039,11790000
1986-01-15,1519.839966,1535.319946,1512.959961,1527.290039,1527.290039,11290000
1986-01-16,1531.079956,1547.709961,1517.089966,1541.630005,1541.630005,16920000
1986-01-17,1541.170044,1552.520020,1519.719971,1536.699951,1536.699951,17010000
1986-01-20,1530.849976,1536.010010,1516.859985,1529.130005,1529.130005,8140000
1986-01-21,1530.390015,1535.890015,1502.869995,1514.449951,1514.449951,13570000
1986-01-22,1513.420044,1525.569946,1494.839966,1502.290039,1502.290039,12970000
1986-01-23,1500.339966,1519.390015,1491.739990,1511.239990,1511.239990,14150000
1986-01-24,1517.430054,1537.390015,1507.680054,1529.930054,1529.930054,13790000
1986-01-27,1536.579956,1548.170044,1524.430054,1537.609985,1537.609985,11430000
1986-01-28,1540.369995,1561.349976,1530.500000,1556.420044,1556.420044,16080000
1986-01-29,1558.140015,1578.099976,1548.050049,1558.939941,1558.939941,18090000
1986-01-30,1558.369995,1572.589966,1545.760010,1552.180054,1552.180054,13370000
1986-01-31,1551.260010,1582.910034,1548.170044,1570.989990,1570.989990,17840000
1986-02-03,1570.530029,1600.109985,1564.329956,1594.270020,1594.270020,16320000
1986-02-04,1596.670044,1611.469971,1575.459961,1593.229980,1593.229980,21880000
1986-02-05,1590.140015,1601.829956,1576.260010,1593.119995,1593.119995,16260000
1986-02-06,1595.760010,1616.510010,1587.500000,1600.689941,1600.689941,18580000
1986-02-07,1590.140015,1622.819946,1576.829956,1613.420044,1613.420044,18470000
1986-02-10,1614.449951,1633.140015,1605.160034,1626.380005,1626.380005,15150000
1986-02-11,1624.890015,1637.500000,1613.300049,1622.819946,1622.819946,15710000
1986-02-12,1625.339966,1640.479980,1611.699951,1629.930054,1629.930054,18270000
1986-02-13,1632.569946,1649.310059,1616.859985,1645.069946,1645.069946,16320000
1986-02-14,1645.410034,1668.689941,1636.119995,1664.449951,1664.449951,19100000
1986-02-18,1661.579956,1685.550049,1649.430054,1678.780029,1678.780029,16930000
1986-02-19,1673.050049,1689.219971,1651.030029,1658.260010,1658.260010,15180000
1986-02-20,1652.750000,1675.459961,1641.969971,1672.819946,1672.819946,13910000
1986-02-21,1681.540039,1702.750000,1668.689941,1697.709961,1697.709961,21280000
1986-02-24,1689.790039,1709.750000,1678.670044,1698.280029,1698.280029,16080000
1986-02-25,1695.989990,1709.520020,1674.079956,1692.660034,1692.660034,16000000
1986-02-26,1694.040039,1714.790039,1679.589966,1696.900024,1696.900024,19340000
1986-02-27,1701.829956,1728.900024,1683.369995,1713.989990,1713.989990,21010000
1986-02-28,1722.589966,1732.569946,1687.500000,1709.060059,1709.060059,21070000
1986-03-03,1706.189941,1714.329956,1684.630005,1696.670044,1696.670044,13800000
1986-03-04,1699.109985,1718.630005,1679.719971,1686.420044,1686.420044,17030000
1986-03-05,1681.630005,1695.400024,1663.069946,1686.660034,1686.660034,17360000
1986-03-06,1698.640015,1711.209961,1681.750000,1696.599976,1696.599976,16420000
1986-03-07,1694.800049,1713.479980,1682.829956,1699.829956,1699.829956,15780000
1986-03-10,1698.040039,1715.160034,1688.699951,1702.949951,1702.949951,11750000
1986-03-11,1714.800049,1752.170044,1704.260010,1746.050049,1746.050049,20450000
1986-03-12,1750.000000,1773.349976,1733.479980,1745.449951,1745.449951,22630000
1986-03-13,1740.060059,1768.800049,1729.530029,1753.709961,1753.709961,17660000
1986-03-14,1761.140015,1799.930054,1745.209961,1792.739990,1792.739990,22780000
1986-03-17,1777.060059,1790.589966,1758.380005,1776.859985,1776.859985,15120000
1986-03-18,1772.270020,1806.750000,1763.650024,1789.869995,1789.869995,16120000
1986-03-19,1796.699951,1806.989990,1773.469971,1787.949951,1787.949951,13870000
1986-03-20,1793.819946,1820.760010,1784.359985,1804.239990,1804.239990,14320000
1986-03-21,1807.949951,1821.239990,1764.849976,1768.560059,1768.560059,30170000
1986-03-24,1784.359985,1796.219971,1763.290039,1782.930054,1782.930054,19510000
1986-03-25,1781.010010,1794.300049,1762.089966,1778.500000,1778.500000,14970000
1986-03-26,1784.119995,1817.410034,1775.979980,1810.699951,1810.699951,19030000
1986-03-27,1822.199951,1849.739990,1806.510010,1821.719971,1821.719971,22460000
1986-03-31,1824.229980,1841.829956,1803.160034,1818.609985,1818.609985,14670000
1986-04-01,1822.079956,1829.020020,1777.540039,1790.109985,1790.109985,19440000
1986-04-02,1786.280029,1803.640015,1769.760010,1795.260010,1795.260010,15750000
1986-04-03,1796.459961,1809.270020,1753.709961,1766.400024,1766.400024,16890000
1986-04-04,1762.930054,1772.869995,1728.449951,1739.219971,1739.219971,17090000
1986-04-07,1734.550049,1749.040039,1712.520020,1735.510010,1735.510010,14410000
1986-04-08,1750.359985,1779.569946,1737.069946,1769.760010,1769.760010,17210000
1986-04-09,1784.359985,1807.709961,1754.189941,1778.619995,1778.619995,16930000
1986-04-10,1791.069946,1807.829956,1768.199951,1794.300049,1794.300049,69590000
1986-04-11,1800.719971,1812.500000,1779.140015,1790.180054,1790.180054,20660000
1986-04-14,1791.420044,1811.380005,1781.000000,1805.310059,1805.310059,11010000
1986-04-15,1799.849976,1822.050049,1789.680054,1809.650024,1809.650024,14870000
1986-04-16,1823.410034,1859.619995,1814.729980,1847.969971,1847.969971,32130000
1986-04-17,1849.079956,1870.160034,1831.719971,1855.030029,1855.030029,22630000
1986-04-18,1851.810059,1870.160034,1830.979980,1840.400024,1840.400024,21670000
1986-04-21,1842.510010,1864.209961,1829.859985,1855.900024,1855.900024,15270000
1986-04-22,1858.260010,1866.439941,1815.969971,1830.979980,1830.979980,19290000
1986-04-23,1823.410034,1841.270020,1803.939941,1829.609985,1829.609985,15840000
1986-04-24,1831.719971,1848.459961,1818.949951,1831.719971,1831.719971,17920000
1986-04-25,1836.430054,1848.459961,1813.739990,1835.569946,1835.569946,15330000
1986-04-28,1834.199951,1852.660034,1817.709961,1843.750000,1843.750000,13680000
1986-04-29,1848.829956,1856.150024,1813.119995,1825.890015,1825.890015,16400000
1986-04-30,1825.400024,1831.229980,1777.900024,1783.979980,1783.979980,17270000
1986-05-01,1777.900024,1796.880005,1761.040039,1777.780029,1777.780029,18550000
1986-05-02,1782.239990,1795.880005,1763.140015,1774.680054,1774.680054,14840000
1986-05-05,1777.530029,1800.349976,1770.959961,1793.770020,1793.770020,11680000
1986-05-06,1799.359985,1803.319946,1775.920044,1787.949951,1787.949951,14540000
1986-05-07,1782.369995,1790.050049,1755.209961,1775.300049,1775.300049,16960000
1986-05-08,1780.750000,1797.869995,1768.479980,1786.209961,1786.209961,16110000
1986-05-09,1779.640015,1797.119995,1767.729980,1789.430054,1789.430054,13850000
1986-05-12,1786.459961,1804.319946,1774.800049,1787.329956,1787.329956,12030000
1986-05-13,1790.550049,1804.069946,1772.319946,1785.339966,1785.339966,14660000
1986-05-14,1790.430054,1815.229980,1775.550049,1808.280029,1808.280029,15790000
1986-05-15,1803.939941,1808.780029,1766.989990,1774.680054,1774.680054,14560000
1986-05-16,1770.959961,1775.670044,1749.880005,1759.800049,1759.800049,13480000
1986-05-19,1763.140015,1769.839966,1746.530029,1758.180054,1758.180054,8460000
1986-05-20,1758.560059,1788.439941,1752.479980,1783.979980,1783.979980,10860000
1986-05-21,1783.479980,1798.609985,1766.619995,1775.170044,1775.170044,11770000
1986-05-22,1782.609985,1813.739990,1774.180054,1806.300049,1806.300049,17100000
1986-05-23,1812.250000,1842.140015,1804.689941,1823.290039,1823.290039,12660000
1986-05-27,1833.160034,1856.560059,1823.479980,1853.030029,1853.030029,12540000
1986-05-28,1862.010010,1891.790039,1851.920044,1878.280029,1878.280029,18020000
1986-05-29,1874.869995,1892.969971,1857.420044,1882.349976,1882.349976,14940000
1986-05-30,1872.510010,1898.219971,1857.949951,1876.709961,1876.709961,16210000
1986-06-02,1874.189941,1886.170044,1845.530029,1861.949951,1861.949951,12370000
1986-06-03,1860.739990,1875.540039,1845.670044,1870.430054,1870.430054,12520000
